YEAR,DOY,PRECTOTCORR,RH2M,T2M_MAX,T2M_MIN,WS10M
2005,251,0.0,80.47,31.52,22.03,2.54
2005,252,0.53,89.93,25.42,21.17,3.03
2005,253,0.02,86.18,29.88,21.38,2.48
2005,254,7.76,87.12,28.43,21.39,2.14
2005,255,2.06,84.09,29.78,20.68,2.17
2005,256,0.0,81.76,30.89,21.48,2.34
2005,257,0.03,86.45,29.33,22.95,6.23
2006,251,1.58,85.13,29.76,22.03,1.94
2006,252,0.2,87.63,29.56,22.22,2.42
2006,253,0.56,83.54,31.6,22.73,3.58
2006,254,11.73,85.74,26.13,20.18,4.33
2006,255,10.47,91.3,23.34,18.63,4.94
2006,256,14.35,91.85,22.39,17.24,4.89
2006,257,14.74,90.17,20.56,15.97,6.19
2007,251,0.02,85.82,29.8,22.56,5.17
2007,252,1.65,89.22,28.42,21.87,4.69
2007,253,12.47,89.88,28.5,22.89,3.91
2007,254,13.93,91.84,24.65,21.46,1.78
2007,255,44.05,90.44,24.1,17.49,2.72
2007,256,0.03,79.64,24.48,16.29,1.4
2007,257,0.01,86.72,28.02,18.76,2.76
2008,252,0.12,81.51,28.73,19.57,2.5
2008,253,0.03,72.23,26.76,16.81,3.26
2008,254,0.0,82.34,25.69,15.23,3.37
2008,255,2.89,84.14,25.6,14.9,5.03
2008,256,0.05,73.18,29.43,17.21,2.43
2008,257,0.08,79.35,28.44,18.32,2.06
2008,258,0.41,87.48,26.14,19.87,2.06
2009,251,0.55,89.67,26.38,19.56,3.64
2009,252,0.69,83.33,23.94,17.77,3.02
2009,253,0.01,68.29,26.63,14.04,2.7
2009,254,0.0,72.91,25.94,15.61,1.95
2009,255,20.97,91.82,23.37,17.09,2.19
2009,256,0.28,74.96,27.57,17.42,2.66
2009,257,0.0,76.05,23.99,15.44,2.75
2010,251,54.43,92.83,27.64,18.64,5.48
2010,252,1.26,74.78,28.38,18.3,4.67
2010,253,0.19,81.27,30.26,19.04,2.44
2010,254,0.0,73.78,33.95,21.16,2.01
2010,255,0.07,75.39,32.78,23.9,2.4
2010,256,0.77,76.12,33.8,23.67,2.18
2010,257,5.24,73.9,30.18,20.09,2.5
2011,251,0.01,80.73,27.87,17.43,2.57
2011,252,0.25,86.67,30.06,20.59,3.7
2011,253,0.02,82.74,31.39,22.43,2.57
2011,254,0.53,86.53,29.13,22.47,2.22
2011,255,0.01,85.64,29.16,21.5,2.46
2011,256,0.0,83.52,30.34,20.17,3.16
2011,257,0.0,83.78,30.44,21.31,2.33
2012,252,0.63,79.03,30.65,21.3,2.35
2012,253,0.05,79.8,30.14,21.67,3.08
2012,254,0.0,77.27,31.66,21.29,3.45
2012,255,2.2,74.82,31.57,21.94,2.5
2012,256,6.45,73.43,30.27,20.52,1.58
2012,257,0.01,70.7,31.79,19.95,2.57
2012,258,1.14,77.76,30.27,21.23,3.47
2013,251,4.36,84.29,30.88,19.66,3.78
2013,252,0.16,72.73,28.18,19.24,2.78
2013,253,0.18,73.76,29.38,18.39,2.63
2013,254,1.89,76.56,28.6,19.0,3.73
2013,255,1.11,69.14,32.58,19.06,2.4
2013,256,0.03,75.38,31.74,22.54,2.05
2013,257,1.83,78.62,31.93,22.68,2.11
2014,251,3.83,85.15,24.16,17.39,1.89
2014,252,1.1,80.38,25.88,18.07,4.25
2014,253,10.63,85.86,26.42,18.9,3.42
2014,254,11.87,85.05,24.84,18.11,1.8
2014,255,0.83,76.17,25.79,15.08,2.62
2014,256,0.28,78.46,24.75,16.5,2.51
2014,257,0.19,75.57,25.66,15.97,2.58
2015,251,52.75,95.11,23.59,18.56,5.75
2015,252,112.63,94.85,25.8,19.62,6.45
2015,253,27.61,89.94,26.23,20.71,2.41
2015,254,0.19,82.33,27.27,19.27,2.55
2015,255,0.02,83.04,26.88,16.59,3.02
2015,256,0.17,87.18,26.34,19.01,4.45
2015,257,0.0,82.99,24.05,16.66,4.09
2016,252,18.09,93.0,26.9,23.46,3.91
2016,253,0.33,78.02,29.19,20.44,2.27
2016,254,0.1,83.81,27.95,20.04,2.94
2016,255,14.65,90.2,26.16,20.3,2.77
2016,256,2.45,87.8,26.99,19.49,3.26
2016,257,42.61,96.09,25.49,21.17,2.53
2016,258,8.45,93.47,23.62,20.46,2.42
2017,251,2.39,81.08,28.63,18.83,2.93
2017,252,0.08,76.72,27.75,18.31,2.19
2017,253,0.02,76.79,29.9,20.74,2.26
2017,254,1.15,82.18,28.4,20.95,4.41
2017,255,5.21,88.63,28.56,22.93,5.6
2017,256,0.0,75.44,30.28,20.91,2.12
2017,257,0.03,72.11,30.2,19.61,2.99
2018,251,7.56,86.48,29.36,23.71,7.28
2018,252,3.09,87.25,28.59,23.82,5.87
2018,253,32.35,91.99,26.71,18.93,3.94
2018,254,6.33,86.39,23.29,16.65,4.41
2018,255,0.2,82.45,21.27,15.51,3.65
2018,256,0.37,81.17,24.62,14.72,2.0
2018,257,11.97,90.81,23.16,18.84,1.97
2019,251,36.38,86.22,31.11,23.29,3.15
2019,252,42.82,79.13,34.0,25.11,2.19
2019,253,2.79,74.53,32.8,23.67,1.33
2019,254,5.43,87.21,30.94,23.75,2.15
2019,255,0.51,80.04,26.62,19.94,3.62
2019,256,0.02,83.36,22.51,16.0,2.98
2019,257,0.13,84.1,26.01,14.88,3.03
2020,252,1.96,90.41,29.13,24.68,5.43
2020,253,2.89,83.52,30.71,23.19,3.61
2020,254,1.75,88.19,27.79,23.1,4.04
2020,255,2.03,89.77,28.51,23.07,2.5
2020,256,11.83,91.18,25.27,21.91,3.73
2020,257,1.55,88.76,28.44,20.65,3.18
2020,258,1.26,87.71,26.24,20.74,2.61
2021,251,2.37,86.72,24.08,14.99,2.82
2021,252,31.46,92.34,24.94,19.5,2.29
2021,253,0.06,86.17,27.93,19.36,2.73
2021,254,0.39,86.61,27.7,21.03,2.11
2021,255,0.3,89.73,26.0,20.39,2.13
2021,256,0.01,80.02,26.74,18.4,2.72
2021,257,7.39,90.75,23.32,18.65,1.91
2022,251,10.02,91.91,24.86,21.53,4.17
2022,252,0.85,87.97,27.57,20.5,3.04
2022,253,1.57,81.79,27.64,18.12,4.04
2022,254,0.01,84.22,27.03,17.69,4.7
2022,255,0.45,85.79,28.05,19.32,4.23
2022,256,1.71,87.3,28.92,20.12,2.67
2022,257,0.0,83.77,28.94,19.67,3.52
2023,251,92.73,94.16,26.23,21.48,4.32
2023,252,5.3,91.32,28.19,23.16,3.81
2023,253,0.07,88.23,29.27,22.77,3.82
2023,254,0.29,90.16,27.44,23.06,2.28
2023,255,0.02,84.6,29.24,22.23,2.24
2023,256,0.0,79.53,30.41,21.6,1.69
2023,257,0.14,84.11,30.11,21.74,3.41
2024,252,1.43,87.85,30.54,23.63,2.57
2024,253,2.18,86.83,30.04,22.64,2.28
2024,254,0.39,87.44,30.14,23.82,3.0
2024,255,0.68,87.37,31.96,24.45,3.07
2024,256,4.08,88.13,31.05,24.63,3.48
2024,257,1.4,86.61,30.96,24.28,5.49
2024,258,2.81,88.05,30.24,23.73,5.4
